,mod_ingredients
caraway seed,0.00042140582573676447
rum,0.0004194180624078175
oat,0.0004189211215755807
pinto bean,0.0004179272399111072
olive,0.00041395171325321324
poppy seed,0.00041345477242097647
sweet red pepper,0.00041345477242097647
yellow bell pepper,0.0004099761865953192
celery salt,0.00040749148243413545
cooked ham,0.00040699454160189873
italian parsley,0.00040699454160189873
half-and-half cream,0.0004060006599374252
lemon peel,0.0004050067782729517
crabmeat,0.00040450983744071497
cracked black pepper,0.00040252207411176793
pineapple chunk,0.0004010312516150577
hamburger bun,0.00039854654745387396
lettuce leaf,0.0003955649024604534
oyster,0.0003950679616282167
garam masala,0.00039258325746703294
coarse  black pepper,0.00039258325746703294
chicken bouillon cube,0.0003900985533058492
yellow cornmeal,0.00038562608581571843
sunflower seed,0.00038363832248677145
tuna,0.00038264444082229795
mint,0.0003811536183255877
herb,0.0003736995058420364
pumpkin puree,0.0003717117425130894
cashew,0.0003717117425130894
poultry seasoning,0.00037022092001637915
fennel seed,0.00036922703835190566
pie crust,0.0003662453933584852
unsweetened apple,0.0003652515116940117
quick-cooking oat,0.00036177292586835443
prepared horseradish,0.00036177292586835443
mixed vegetable,0.00036077904420388094
light soy,0.0003597851625394074
italian sausage,0.0003582943400426972
fruit,0.0003573004583782237
large shrimp,0.0003568035175459869
egg noodle,0.0003558096358815134
mustard seed,0.00035332493172032965
liquid smoke,0.00035233105005585616
cherry,0.00035233105005585616
tomato puree,0.00035233105005585616
chipotle chile in adobo,0.0003518341092236194
horseradish,0.0003498463458946724
cajun seasoning,0.00034736164173348864
penne pasta,0.00034537387840454165
nonstick cooking spray,0.00034437999674006816
garbanzo bean,0.0003423922334111211
mandarin orange,0.0003423922334111211
chicken thigh,0.0003413983517466476
bean sprout,0.0003399075292499374
bittersweet chocolate,0.00033891364758546386
oregano leaf,0.00033891364758546386
pepperoni,0.00033642894342428016
linguine,0.0003359320025920434
prosciutto,0.0003354350617598066
sauerkraut,0.0003354350617598066
lemon wedge,0.0003339442392630964
apple cider,0.0003339442392630964
light cream,0.0003334472984308596
sausage,0.00033145953510191264
lime zest,0.00033046565343743914
couscou,0.00032996871260520237
pecan half,0.00032996871260520237
tequila,0.0003284778901084921
flax seed,0.0003279809492762554
red chili,0.0003269870676117819
splenda granular,0.0003259931859473084
white chocolate chip,0.00032499930428283485
taco seasoning mix,0.00032350848178612463
catsup,0.00032251460012165114
red kidney bean,0.00032201765928941437
panko breadcrumb,0.0003200298959604674
water chestnut,0.0003190360142959939
dark rum,0.0003185390734637571
lasagna noodle,0.00031704825096704684
lentil,0.0003165513101348101
medium shrimp,0.0003165513101348101
pimiento,0.0003145635468058631
pesto,0.00031406660597362636
egg substitute,0.00031406660597362636
chicken wing,0.0003135696651413896
seasoning,0.00031307272430915287
green olive,0.0003120788426446794
zest of,0.0003095941384834956
macaroni,0.00030909719765125884
dry yeast,0.0003086002568190221
mustard powder,0.00030710943432231186
miniature marshmallow,0.0003066124934900751
lemon pepper,0.0003056186118256016
mashed potato,0.00030512167099336487
old bay seasoning,0.00030214002599994433
parsley leaf,0.0003016430851677076
yellow squash,0.00030114614433547084
cannellini bean,0.00030064920350323407
green cabbage,0.00030015226267099735
spinach leaf,0.0002976675585098136
puff pastry,0.0002976675585098136
refried bean,0.0002976675585098136
coriander leaf,0.0002971706176775768
green pea,0.0002956797951808666
snow pea,0.00029418897268415633
beef bouillon cube,0.00029418897268415633
corn flake,0.00029418897268415633
orange marmalade,0.00029418897268415633
lime wedge,0.00029269815018744607
hamburger,0.00029269815018744607
peppercorn,0.0002892195643617888
boneless skinless chicken thigh,0.0002887226235295521
vegetable shortening,0.0002882256826973153
grape tomato,0.0002877287418650786
portabella mushroom,0.0002872318010328418
coriander seed,0.00028574097853613156
shredded coconut,0.00028474709687165806
coffee,0.00028474709687165806
bean,0.00028474709687165806
old fashioned oat,0.00028425015603942134
yellow mustard,0.0002822623927104743
kahlua,0.0002807715702137641
light sour cream,0.0002802746293815273
shiitake mushroom,0.00027828686605258033
table salt,0.00027729298438810684
wheat germ,0.0002762991027236333
cooked chicken breast,0.00027580216189139657
parsnip,0.0002748082802269231
dark chocolate,0.0002738143985624496
pizza,0.00027182663523350254
vidalia onion,0.00027033581273679233
light mayonnaise,0.0002693419310723188
rhubarb,0.0002693419310723188
orzo pasta,0.00026884499024008206
baby spinach leaf,0.00026785110857560857
tahini,0.0002673541677433718
unsweetened chocolate,0.0002668572269111351
lemongras,0.0002658633452466615
white chocolate,0.00026288170025324105
chuck,0.0002613908777565308
iceberg lettuce,0.0002613908777565308
radish,0.0002603969960920573
currant,0.0002603969960920573
unsweetened cocoa,0.0002594031144275838
steak,0.0002584092327631103
italian dressing,0.0002584092327631103
marshmallow,0.00025592452860192654
vegetable,0.00025592452860192654
cooked bacon,0.00025542758776968976
sweet paprika,0.00025542758776968976
unflavored gelatin,0.00025542758776968976
new potato,0.00025393676527297955
yukon gold potato,0.00025393676527297955
bourbon,0.00025294288360850606
salmon,0.0002514520611117958
red food coloring,0.0002494642977828488
wheat bread,0.00024847041611837526
italian seasoned breadcrumb,0.00024648265278942827
ranch dressing,0.00024598571195719155
beet,0.0002454887711249548
chicken piece,0.00024399794862824454
lamb,0.00024399794862824454
orange peel,0.00024250712613153427
reduced-sodium chicken broth,0.00024201018529929752
flat-leaf parsley,0.00024201018529929752
quick oat,0.00024201018529929752
macadamia nut,0.00024151324446706077
tart apple,0.00024101630363482403
chili pepper,0.00024101630363482403
flank steak,0.00024051936280258728
brussels sprout,0.00024002242197035053
teriyaki,0.00023753771780916677
miracle whip,0.00023704077697693003
hazelnut,0.00023654383614469328
pita bread,0.00023654383614469328
cherry pie filling,0.000235053013647983
chorizo sausage,0.00023405913198350952
marinara,0.00023405913198350952
vanilla essence,0.00023256830948679925
smoked paprika,0.00023058054615785227
sweetened flaked coconut,0.00022958666449337877
chocolate,0.000229089723661142
angel hair pasta,0.000227101960332195
sage leaf,0.00022610807866772152
toasted sesame seed,0.00022610807866772152
instant vanilla pudding,0.000225114197003248
red chili pepper,0.000225114197003248
yellow pepper,0.00022461725617101125
asparagus spear,0.0002241203153387745
vanilla bean,0.00022362337450653776
tilapia fillet,0.00022362337450653776
quinoa,0.00022362337450653776
blackberry,0.0002221325520098275
graham cracker,0.00022163561117759074
bisquick,0.00022064172951311725
onion salt,0.00021964784784864376
